,senti,sentence
0,0,  in   we bought a new taurus and we really loved it   so in   we decided to try a new taurus   i did not care for the style of the newer version   but bought it anyway i do not like the new car half as much as i liked our other one   thee dash is much to deep and takes up a lot of room   i do not find the seats as comfortable and the way the sides stick out further than the strip that should protect your card from denting it drives nice and has good pick up   but you can not see the hood at all from the driver seat and judging and parking is difficult   it has a very small gas tank i would not buy a taurus if i had it to do over   i would rather have my   back   i don t think the style is as nice as the the    and it was a mistake to change the style   in less than a month we had a dead battery and a flat tire br br  
1,0,  the last business trip   i drove to san francisco   i went to hertz rentals and got a   taurus   thinking it looked comfortable and professional   i found the seating to be uncomfortable for myself   as well as for my passenger now   seating comfort may not be important to you   but it is to me the fuel usage was fine   the car did get us there with no problems   but   it was such an uncomfortable ride for both of us   it is not as though i am hard to fit into a car   i am     weigh   pounds   and i am usually quite comfortable in most any car   but   the taurus seemed especially uncomfortable   for anyone who is thinking of renting a car for a long trip   i would suggest that the taurus     not be on the list of   be sure to get this there was a large trunk that allowed us to pack a lot of materials needed for the business end of the trip   driving it was a breeze   and everything   worked   right   i have no complaints about the standard making of the car   except in the comfort area   how important is comfort to you   on a long trip   being an uncomfortable driver is distracting to me   and it made the trip seem unnecessarily longer than it should have felt   i make this trip a lot   the saturn would have been a better choice for me   as i have rented this model quite often   it offers comforts that the taurus simply does not have if you are planning a long trip   or to buy a car that you intend to be comfortably seated in   check out the taurus on a longer trial basis than you might another car   you may find the same thing happening to your comfort  
2,0,  my husband and i purchased a   f and had nothing but problems   we have owned the vehicle approximately two years and it has spent at least half of that time in the shop the first problem was the valve covers were leaking   this problem took three days in the shop   when we went to pick it up   we found that the mechanic at the dealership did not replace parts that he had to take off   this took an additional week   because of the poor design   fixing this vehicle was not found to be cheap   nor could just any mechanic do the work next    within one week   the serpentine belt came off the pulleys and sheared off the air conditioning power plug   this also took nearly a week to fix   cause of this problem was unknown next   the clean air pump broke   again within a week   this took about four days to fix   when i picked up the truck after the air pump   i didn t realize at the time that the mechanic had not hooked back up a hose to the transmission   so   after driving it for three days   my transmission needed to be rebuilt   due to unavailable parts   a new transmission replaced the old   which was mated to a junk yard transfer case   this repair took about   days truck vibrates at about   miles an hour   so we spent     on a new front end   tires   balancing etc   this did not help the situation within two weeks the serpentine belt was replaced for the second time since i bought the vehicle   the truck had    miles when i took over so i expected some problems don t get me wrong   but newer vehicles are said too have    mile s i noticed a large loss of power after said repairs   then began the costly fixes and diagnostics to find cause of power loss   the gas mileage at this point is about mpg never increasing the belt replacement continued till the present date at a belt every month   the truck went into the shop again for transmission leaks to a dealership where the problems found mounted   once again unavailable and discontinued parts this is not even close to being all of the problems   but i think i ve said enough     
3,0,  i feel i have a thorough opinion of this truck compared to most who post evaluations of their vehicles   my truck has been owned by me since new and currently have k miles   i ve been meticulous with maintenance and treating my truck with normal duty activities   never exceeding the manufacturer s recommendations this is information regarding my vehicle and the excessive amount of problems found during an inspection   sept    it s reference for anyone else who has had the same problems or looking for information regarding warranties and extended warranties   you are welcome to give some feedback   vehicle    f   l x xlt w   off road    tow package    rims   everything factory install   all the top options included   extended warranty   purchased s version k mile bumper to bumper coverage when new    deductible per drive in occurrence   driving conditions   never taken off road   never towed anything of significant weight and never used inappropriately toward the last   miles of my k mile purchased extended warranty bumper to bumper plan   the passenger side power door lock failed and the abs light turned on   i brought it in to the dealer for an inspection along with some squeeking of the front end   thought it was a tire rim leak   problems found    all   tie rods   inners and outers   bad    lower ball joints   bad    abs codes c and c   ecu and hcu controller and module assembly   bad    passenger side door lock actuator   bad    power steering pump   bad   air conditioning warranty replaced back at k miles   all items above were replaced under the purchased extended warranty bumber to bumber plan   except a kit for the module assembly on the abs   i will dispute that today   but had to pay for it to get it done   i am shocked that this much damage was found for a vehicle at only k miles proclaimed to be   built tough   yet only offering a k mile manufacturer warranty   if i did not have the extended warranty   i could only guess the bill to pay for this the extended cab seating is extremely cramped   my friends refuse to be a passenger in the back   the rear bench seating is hard   very uncomfortable   general motors seems to have very comfortable and roomy seating in their comparable models   the ignition is hidden and difficult to find   the stereo is second class for sound and tuning stations   especially am   factory installed tires have no significant grip traction after    miles   i recommend getting a spray in liner to help prevent the large dents and scratches that have happened in my truck   but not trucks that have been sprayed   the metal can t hold up and appears thin for the bed i do like the exterior look of the f   the height is fantastic   i can see all around while driving   it certainly upsets small vehicle drivers behind me   tailgating me and assuming i m a slow road hog in the left lane   but when trying to pass   they see the road jammed full of cars in front of me   bumper to bumper   accelerations and towing torque are very good   although now i sense a loss or hesitation on a occasions when i have to suddenly put the petal to the medal to avoid accidents expect to pay the value of your truck in maintenance costs from the dealer   they make their money on repairs and maintenance   very expensive   i m not complaining about this   but you buy and expensive truck   expect to pay for the maintenance  
4,0,  as a mother of    all of whom are still in carseats   the only logical thing to do was to trade in my sx for a minivan   as the minivan is only one of a handful of vehicles that have the room my family requires   in addition   we bought a new one so the mechanical difficulties would be minimum i love the fact that the van seats so many people   i never have to worry about bringing   cars   even if i have me kids with me the van seats added passengers   it does so in a roomy way as well i like the way the windstar handles   it has great acceleration   i like the fact that you are able to see way infront of you while driving   but these features are almost always indicative of all vans   or at least most of them i hate the fact that this vehicle has broken down   times leaving myself and my children stranded on the side of the road   each time we brought it back to the dealer where they said they fixed it   each diagnosis was different   the engine lights continues to go on   to this day   this makes it difficult if not impossible for me to feel safe in the windstar   thankfully   my husband is quite mechanical the windstar handles well   it is easy to steer and control   much like driving a car   some vans have steering that is difficult the suspension on the windstar leaves something to be desired   i have the privledge of feeling every bump the brakes are sound   i have yet to have them fail or squeak severly people who should buy this vehicle are those with alot of children or who need to transport alot of things   anyone who enjoys sports cars    fast vehicles   should avoid this car br br  
5,0,  the winstar is a car that i would not recommend purchasing   i have driven this van several times and i can t get used to it   the handling is horrible do to it s swaying feeling   it actually feels like the car is going to tip over in some turns   the side passenger window creates a blind spot   which i think is dangerous   where the side window meets the windshield is where i think the problem is   when braking it also feels like the driver doesn t have control do to the car having a difficult time stopping quick   this car doesn t stop efficiently   it doesn t handle well and it also doesn t provide the driver with a very good frame of vision on the passenger side   i feel that this is a safety hazard not only to the driver and their passengers but also to everyone else on the road   not recommended by me br br  
6,0,  we bought this van in    after having been a rental since it s   birth   initially we loved it   it was everything we had dreamed about and more   there was plenty of room for   and rode extremely nice   even in the very back   we had heard nothing but good about this van   it s safety ratings   ease of driving   etc   it was the gl model   and had rear heat air and stereo controls   the front seats were bucket   while the two in back were bench   everything about it was wonderful until we had around    miles on it and the transmission went out of it   things seemed to roll downhill from there   we replaced the tranny and a few weeks later the interior of the sliding door fell off   it had constant problems with the ignition switch and was always dinging whether or not the keys were in it   the lights were on   whatever   the interior lights stayed on all the time as well   the door ajar light was always on   no matter what was done to ensure that all the doors were closed   no lie   a few times this van even started itself when the keys weren t even in it   the gas mileage was only about    mpg   the air conditioning would literally run you out it got so cold   we never did have any problems with the air or heat   it rode very nice   and drove very nice   but all in all   i d say it definately wasn t worth the money paid   and was more of a headache than it was worth  
7,0,  i bought the focus wagon for it s cargo space   it s great for camping and the hardware store   the ride is smooth and quiet   and it handles quite well   it has a solid feel compared to our lancer   i wish the gas mileage were a little better   it does have nice features like an adjustable seat belt height in the front seat   big door pockets   seat warmers   the windshield wiper is still the best on the market   the biggest problem i have is that it leaks terribly in the back   i plan to take it in to get that fixed   i have had to clean the trunk carpet twice with a bleach solution to kill the mold mildew that has set in   the other issue i have is that the vent allows too much engine heat through in the summertime   this is a bummer if you are expecting cool air in the spring or fall to come through   the sun visors are almost useless as they do not go all the way forward   they sag too low and block too much of the road   i went from a escort wagon to this car   the focus feels like a luxury car compared to the escort   i will give this car a chance   if the leak can not be fixed   i ll look for another car  
8,0,  you ve probably heard about the giant   excursion sport utility vehicle   which carries a significant price tag which relates to its size   according to safety experts   when you spot the excursion on the road   pull off the asphalt after having wet your pants in fear and hide in the gutter to avoid any chance of making contact with a machine so big it feasts on coupes for snacks   and sedans for entrees   the excursion isn t a utility vehicle meant to haul large families and large things that smaller vehicles can t   only about    will be built the first year excursion s strong point   its huge size   is also drawing criticism   it took a   horsepower v   to maneuver the   foot   excursion over winding roads with minimal strain   not sure if the base    liter    h p   would have fared as well   estimates that the    liter will deliver   to   mpg city highway   the    liter   to   mpg   and the    liter turbo diesel   to   mpg with boat attached   the v   performed admirably   which   after all   is why excursion exists   to provide those   who need to tow big   heavy things   a big   heavy vehicle   once the boat was unhooked   the v   managed twisty   hilly roads without coming up for air   but even without a boat   excursion isn t going to run from the light   the suspension has a tendency to be firm but has been adjusted to prevent bone jarring movement on uneven pavement   handling is surprisingly pleasant   the steering offers   low effort movement   to balance out the size and weight without being so loose you don t feel in control   but don t expect to take a tight corner with ease as you would in say   an explorer   and the turning radius is   well   let s just say you ll need three to four lanes for a u turn   excursion comes with four wheel   anti lock   disk brakes   even with normal braking   be sure to apply the pedal earlier to account for its size   there will be some who complain excursion is too big   they probably will be the owners of tiny vehicles frightened by the excursion   in my test drive   the excursion never grabbed another vehicle and slung it from my path in back   the standard trailer hitch and associated hardware was designed to sit low to keep vehicles from submarining under excursion in a rear end impact   excursion is garageable   if the garage is at least   feet deep and the door at least   feet high   inside   excursion has three rows of seats to handle eight passengers   nine if you decide to go for a front bench seat rather than a massive center section with a writing top    cup holders for front and rear passengers   and enough room inside for tape cd coin holders plus the optional six cd changer   entry to the third seat is easy   press the handle and the second seat back lowers and the bottom slides forward for wide open entry exit in back   however   once in the third row   you are directly over the rear axle   putting you in touch with all the road harshness   other features include a full size spare inside along the side wall that still allows a decent amount of room   and folding second and third seats increase cargo capacity   the third seat is on rollers so it can be removed or folded against the back of the second seat for more cargo room   and it contains tons of room behind the third seat for luggage or golf clubs without removing it   other goodies include   cup holders    power plugs    coat hooks   second and third row reading lamps   rear cabin audio controls with dual headphone jacks   overhead console for garage door opener and eyeglass holders   despite excellent glass hatch visibility   there s one glaring problem in back on excursion   it stands so tall i lost sight of a bmw z   that pulled up behind me at the light   which means objects such as pets or kids that are even smaller won t be seen when you back out of the driveway   offers a sonar reverse sensing system on the windstar mini van that beeps to warn of objects when backing up   it should already be here   but it will be offered on excursion   hopefully   soon   if you have kids   you might want to wait for it   dual air bags are standard with belt minder   which sounds a chime every   seconds as a reminder to buckle up   the excursion is offered at a starting price of     for wd   and     for wd     
9,0,  if you thought that the gmc suburban was big   wait till you see the   excursion   this vehicle dwarfs even the biggest of all suv s   and in the race for the biggest and the baddest suv s takes the cake   outside the vehicle closely resembles the f with its front and grill   there is plenty of chrome to make it glitzy enough   it s big   the step in height is high even for a tall individual   and it takes quite some effort to get in   the tailgate is gigantic with two doors that swing wide out to the sides   once inside   you will be lucky if you can get inside   you will notice an abundance of space   but it s not much more than the smaller suburban   it s comfortable   but again a caravan is just as nice in the inside as my opinion   the limited version has a leather and wood interior and seating for up to nine   although most cars are outfitted for seven on eight people   it is comfortable and there enough space even in the way back   the vehicle is powerful enough for passing effectively on the highways and is comparable to the suburban in accleration   but the handling   the handling is terrible   it s a truck   it s a truck disguised as a suv   it s hard to maneuver   and the turning radius is horrible   if you are in the market for a vehicle with a lot of room   and with all wheel drive that can handle in the snow   a much better choice than the excursion is the caravan with all wheel drive   it s better on your wallet too   with a better price and its much better gas mileage br br  
