,0,1
0,So there is no for me to plug it in here in the US unless I go by a,0
1,Good Excellent,1
2,Great for the,1
3,Tied to for lasting more than  ,0
4,The is great,1
5,I have to jiggle the to get it to line up right to get decent,0
6,If you have several or several hundred then imagine the of sending each of them one by one,0
7,If you are Razr owneryou must have this,1
8,Needless to say I wasted my,0
9,a of and,0
10,And the is great,1
11,He was very impressed when going from the original to the extended,1
12,If the two were seperated by a mere   I started to notice excessive static and garbled from the,0
13,Very good thoughThe is very odd as the is not very comfortable at all,0
14,Highly recommend for any one has a blue,1
15,I advise DO NOT BE FOOLED,0
16,So Far So Good,1
17,Works great,1
18,It clicks into in a that makes you wonder how long that would last,0
19,I went on Motorolas and followed all but could not get it to pair again,0
20,I bought this to use with my Kindle Fire and absolutely loved it,1
21,The are the most misleading,0
22,I have yet to run this new below two and that s three without charging,1
23,I bought it for my and she had a with the,0
24,Great Pocket PC  ,1
25,I ve owned this for   now and can say that its the best mobile I ve had,1
26,I did nt think that the provided were helpful to me,0
27,could nt hear me talk and I had to pull out the and talk on the,0
28,Does nt hold,0
29,This is a simple little to use but the is unacceptible,0
30,This is ideal for like me whose are very sensitive,1
31,It is unusable in a moving at,0
32,I have two more left in this and I hate this,0
33,as well as AC are included to make sure you never run out of juiceHighy recommendedYou need at least   to get to your from the you first turn on the is short,0
34,It has kept up very well,1
35,Poor Talk Time,0
36,The is great and works fine with the,1
37,worthless,0
38,It has a great that s MP and the are nice and clear with great,1
39,I was not impressed by this,0
40,Nice priced right,1
41,I only hear for,0
42,Excellent bluetooth,1
43,It has all the I wantWho in their right is gon na buy this,0
44,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS,0
45,This seems well made,1
46,Disappointed with,0
47,Not loud enough and does nt turn on like it should,0
48,good and does not make too bulky,1
49,A usable actually turns a PDA into a useful instead of just a neat,1
50,This is pretty sturdy and I ve never had any large with it,1
51,I love this,1
52,about it is fine and reasonable for the ie,1
53,VERY DISAPPOINTED,0
54,I even dropped this into a and it was submerged for   and it still works great,1
55,I have been very happy with the   and have had NO from any one regarding my on their,1
56,The for on and off are bad,0
57,Essentially you can forget Microsofts,0
58,I really recommend this since it looks very nice elegant and cool,1
59,These were a great   and I think they are perhaps the best I ve made in the last several   seriously,1
60,Buy a different   but not this,0
61,You have to hold the at a particular for the other to hear you clearly,0
62,The one big of the MP is that the on the front that let you pause and skip lock out after a few,0
63,A later after I activated it it suddenly died,0
64,It feels more comfortable than most because I wear and that gets in the sometimes,1
65,Great for iPODs too,1
66,This is great in several,1
67,Mic Does nt work,0
68,Even in my BMW   which is fairly quiet I have hearing the other is saying,0
69,Great,1
70,Nice for or,1
71,This is a beautiful,1
72,Love this,1
73,Do Not Buy for Dwrongly advertised for,0
74,This is a great little,1
75,I love this   It is very handy and has a of,1
76,I purchased this and within   it was no longer working,0
77,I wear it everyday and it holds up very well,1
78,Not a good,0
79,Well packaged arrived on and works as intended,1
80,The runs down quickly,0
81,This worked great but it broke after   of,0
82,The are easy to use and loves them,1
83,This works great,1
84,The of the is poor,0
85,was excellent and works better than the one and Boy was it cheaper,1
86,The super,1
87,For a that costs as much as this does I expect it to work far better and with greater than this does,0
88,Made very sturdy,1
89,Worked great,1
90,The only play in one,0
91,Do nt waste your from them again,1
92,If you plan to use this in a forget about it,0
93,I found this to be waaay too big,0
94,Best I ve found so far,1
95,I m very disappointed with my,0
96,Integrated seamlessly with the Motorola RAZR,1
97,Buyer Beware you could flush right down the,0
98,Definitely a,1
99,The was very good and with the free and all it was a good,1
100,I received my supposedly new   and apparently there was not a between the and the,0
101,ProsGood   very nice   also has cool like black and white and more,1
102,That s a huge unless I m not using it correctly which I do nt think is the,0
103,I love my   My Jabra is great the is very good and the is a comfortable,1
104,The although rated at an impressive   renders that fall well below of such a relatively high,0
105,I purcashed this for the and it does not work,0
106,on both is excellent I use to call my and ask my to use to call me,1
107,This is slim and light and the is beautiful,1
108,its a little but i think that s its on and it and oozes right down to its embedded sleek stylish,1
109,Great fast,1
110,Absolutely great,1
111,The is a nice between a full QWERTY and the basic,1
112,i got this around the of and i m completely unhappy with it,0
113,It is very comfortable on the,1
114,It has been a for us,1
115,Setup could nt have been simpler,1
116,I ve tried several different for my and this Jabra one is the first I ve found that fits my comfortably,1
117,Could not get strong enough,0
118,Iam very pleased with my,1
119,Bad Quality,0
120,Gets the done,1
121,Great,1
122,Basically the was very bad,0
123,it did not work in my i am very up set with the,0
124,I ve only had my for a few but I really like it,1
125,The BT was such a,0
126,It is so small and you do nt even realize that it is there after a of getting used to it,1
127,The accompanied is almost brilliant,1
128,works great   was packaged nicely to avoid any,1
129,I definitly recommend,1
130,BuyerBe Very Careful,0
131,The of the Logitech failed,0
132,Very good for the,1
133,My works just peachykeen,1
134,In my I was getting dropped upstairs and no in my,0
135,Voice is tremendous,1
136,a,0
137,During several different   calls I experienced   and it was in an that had  ,0
138,I was not happy with this,0
139,very disappointed,0
140,The takes FOREVER to charge like   to   literally,0
141,I got this on from a and I m glad I did,1
142,a of,0
143,Its is very very poor,0
144,stated as included from the ARE NOT INCLUDED,0
145,After   just went black all of a sudden,0
146,I Was Hoping for More,0
147,Audio Quality is poor very poor,0
148,I had absolutely no with this linking to my   Blackberry Curve,1
149,I know that sounds funny but to me it seemed like sketchy that would nt work wellWell this works great,1
150,I ve bought   wired that sound better than these,0
151,This is very fast with sending any of and is significantly faster than previous i have used,1
152,Nice unlike some cheap out there,1
153,This is fantastic and works perfectly,1
154,And I just love the,1
155,Wi is just SUPERB,1
156,All I can do is on the so here it goesThe more I use the the less I like it,0
157,Great,1
158,This is essentially a that does not communicate,0
159,Works like a it work the same as the I got with the,1
160,I still maintain that should nt make we just obviously do nt share enough to copy the over to,0
161,Great,1
162,Does nt at all,0
163,The of it is very sharp and the is nice and clear with great,1
164,does nt last long,0
165,One I hate is the set at the,0
166,EXCELLENT SERVICE,1
167,Thank you for wasting my,0
168,How can that beThe audio is poor,0
169,The and are really great,1
170,The offers all the that one is great,1
171,Superb on a Great Network,1
172,I connected my bluetoothMotorola HS to my and it worked like a whether the was in my or the,1
173,I put the latest on it vg and it now likes to slow to a and lock up every once in a,0
174,It only recognizes the as its,0
175,If you like a loud to override all your then this is for you,0
176,Do nt buy this,0
177,I ve had this bluetoooth for some now and still not comfortable with the it fits on the,0
178,The is good and is awesome,1
179,I have this and it is a in my I really abhor it,0
180,I recently had where I could not stay connected for more than   before being disconnected,0
181,Incredible,1
182,Design Flaw,0
